"Tube.Number","Wetland","Site","Core","Depth","hours.elapsed","Flow.Rate..ml..hr.","FTR_volume","pH","EC","Sulfate_txmt","Final_sulfate_conc_inf","Final_sulfate_conc_eff","Avg_sulfate_conc_in_FTR","SRR","Units_SRR","FeII_conc_fianl_M","FeII_release_rate","FeII_release_rate_units","X","Taken.for.SS.Analysis"
791,"Slope","C",1,"Shallow",78,1.7105,27.71,5.88,NA,"0_mM",NA,NA,0,0,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
803,"Slope","C",1,"Shallow",90,1.731666667,27.71,NA,NA,"0_mM",NA,NA,0,0,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
815,"Slope","C",1,"Shallow",102,1.7005,27.71,6.23,NA,"0_mM",NA,NA,0,0,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
827,"Slope","C",1,"Shallow",114,1.7205,27.71,NA,NA,"0_mM",NA,NA,0,0,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
839,"Slope","C",1,"Shallow",126,1.734666667,27.71,5.87,NA,"0_mM",NA,NA,0,0,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
851,"Slope","C",1,"Shallow",138,1.723833333,27.71,NA,NA,"0_mM",NA,NA,0,0,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
863,"Slope","C",1,"Shallow",150,1.725,27.71,6.17,NA,"0_mM",NA,NA,0,0,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
875,"Slope","C",1,"Shallow",162,1.748166667,27.71,NA,NA,"0_mM",NA,NA,0,0,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
887,"Slope","C",1,"Shallow",174,1.611666667,27.71,6.34,NA,"0_mM",NA,NA,0,0,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
899,"Slope","C",1,"Shallow",186,1.893,27.71,NA,NA,"0_mM",NA,NA,0,0,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
911,"Slope","C",1,"Shallow",198,1.8615,27.71,6.28,NA,"0_mM",NA,NA,0,0,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
923,"Slope","C",1,"Shallow",210,1.892666667,27.71,NA,NA,"0_mM",NA,NA,0,0,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
1007,"Slope","C",1,"Shallow",294,1.833666667,27.71,5.92,NA,"0.05_mM",0.047460817,0.043866422,0.04566362,0.237853613,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
1019,"Slope","C",1,"Shallow",306,1.864166667,27.71,NA,NA,"0.05_mM",0.047460817,0.039581794,0.043521306,0.530054564,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
1031,"Slope","C",1,"Shallow",318,1.838333333,27.71,6.31,NA,"0.05_mM",0.047460817,0.034361078,0.040910947,0.869061287,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
1043,"Slope","C",1,"Shallow",330,1.891333333,27.71,NA,NA,"0.05_mM",0.047460817,0.034889477,0.041175147,0.858051047,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
1079,"Slope","C",1,"Shallow",366,1.838666667,27.71,6.73,NA,"0.15_mM",0.144508838,0.124534045,0.134521442,1.325405472,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
1091,"Slope","C",1,"Shallow",378,1.852333333,27.71,NA,NA,"0.15_mM",0.144508838,0.124934436,0.134721637,1.308492143,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
1103,"Slope","C",1,"Shallow",390,1.808166667,27.71,6.75,NA,"0.15_mM",0.144508838,0.122457018,0.133482928,1.438952211,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
1115,"Slope","C",1,"Shallow",402,1.863333333,27.71,NA,NA,"0.15_mM",0.144508838,0.124884387,0.134696613,1.319628054,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
1127,"Slope","C",1,"Shallow",414,1.8315,27.71,6.77,NA,"0.15_mM",0.144508838,0.135619865,0.140064351,0.587519093,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
1139,"Slope","C",1,"Shallow",426,1.874833333,27.71,NA,NA,"0.15_mM",0.144508838,0.132867178,0.138688008,0.787664075,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
1151,"Slope","C",1,"Shallow",438,1.830333333,27.71,6.65,NA,"0.15_mM",0.144508838,0.133956371,0.139232605,0.697023877,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
1163,"Slope","C",1,"Shallow",450,1.853666667,27.71,NA,NA,"0.15_mM",0.144508838,0.134086557,0.139297698,0.697200796,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
1175,"Slope","C",1,"Shallow",462,1.8255,27.71,7.099,212,"0.15_mM",0.144508838,0.135909164,0.140209001,0.566535726,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
1187,"Slope","C",1,"Shallow",474,1.855333333,27.71,NA,NA,"0.15_mM",0.144508838,0.123281105,0.133894971,1.421310772,"nmol_sulfate_hr-1_cm-3",0,0,"nmol_hr-1_cm-3",NA,"Y"
1235,"Slope","C",1,"Shallow",522,1.854,27.71,NA,NA,"0.25_mM",0.242559649,0.216410675,0.229485162,1.749556045,"nmol_sulfate_hr-1_cm-3",4.37e-05,2.924907575,"nmol_hr-1_cm-3",NA,"Y"
1247,"Slope","C",1,"Shallow",534,1.810166667,27.71,7.336,274,"0.25_mM",0.242559649,0.198610382,0.220585016,2.871003136,"nmol_sulfate_hr-1_cm-3",4.88e-05,3.186563252,"nmol_hr-1_cm-3",NA,"Y"
1259,"Slope","C",1,"Shallow",546,1.8455,27.71,NA,NA,"0.25_mM",0.242559649,0.188364865,0.215462257,3.609399951,"nmol_sulfate_hr-1_cm-3",8.07e-05,5.373830738,"nmol_hr-1_cm-3",NA,"Y"
1271,"Slope","C",1,"Shallow",558,1.798833333,27.71,7.272,356,"0.25_mM",0.242559649,0.206475628,0.224517638,2.342444592,"nmol_sulfate_hr-1_cm-3",1.82e-05,1.183312965,"nmol_hr-1_cm-3",NA,"Y"
