"countryName","2013","2014","2015","2016","2017","2018"
"Afghanistan",0,1,0,0,1,0
"Albania",0,1,0,1,2,1
"Algeria",6,1,5,2,6,1
"Angola",1,0,0,0,0,1
"Antigua and Barbuda",1,0,0,0,0,0
"Argentina",64,29,29,36,33,5
"Armenia",0,0,0,1,2,0
"Australia",239,114,93,89,76,20
"Austria",40,39,18,30,27,9
"Azerbaijan",0,1,0,3,23,0
"Bahamas",0,0,0,0,1,0
"Bahrain",1,0,0,1,1,0
"Bangladesh",9,4,6,4,3,3
"Barbados",2,0,0,0,0,0
"Belarus",2,2,4,2,5,0
"Belgium",48,28,20,22,25,3
"Benin",0,0,0,0,1,0
"Bermuda",1,0,0,0,1,0
"Bolivia",4,4,5,5,1,0
"Bosnia & Herzegovina",1,2,0,1,2,0
"Botswana",1,0,2,0,1,0
"Brazil",232,103,144,171,153,34
"Brunei",0,1,0,0,0,0
"Bulgaria",10,4,3,6,5,0
"Burundi",0,0,1,0,0,0
"Cambodia",1,0,1,0,1,0
"Cameroon",0,0,1,0,4,1
"Canada",371,132,98,119,102,32
"Cape Verde",1,0,0,0,0,0
"Chile",36,28,24,23,26,7
"China",131,108,122,78,96,28
"Colombia",104,43,69,68,54,10
"Congo - Kinshasa",1,0,0,0,0,0
"Costa Rica",6,4,4,4,7,0
"Côte d’Ivoire",0,1,0,0,0,0
"Croatia",20,5,8,7,2,1
"Cuba",1,1,1,0,0,0
"Curaçao",0,0,1,0,1,0
"Cyprus",2,1,1,0,2,0
"Czechia",24,15,13,15,9,7
"Denmark",36,10,15,17,17,1
"Dominica",1,0,0,0,0,0
"Dominican Republic",3,2,1,3,1,0
"Ecuador",6,10,6,5,5,3
"Egypt",11,15,29,16,23,8
"El Salvador",2,0,1,1,0,0
"Estonia",4,2,2,4,1,1
"Ethiopia",3,3,0,4,3,1
"Fiji",0,0,0,0,1,0
"Finland",30,11,17,12,7,6
"France",137,67,77,81,47,15
"French Polynesia",1,1,0,0,0,0
"Georgia",1,0,0,0,2,0
"Germany",318,151,89,111,110,23
